SpaceUncovered,WinFrequency,LoseFrequency,Multiplier,WinEV,LoseEV,EV (%),NumberOfCells,NumberOfBombs,Bet,HouseAdvantage
1,0.4,0.6,2.42,57.0,-60.0,-3.0,25,15,100,0.03
2,0.15,0.85,6.47,82.0,-85.0,-3.0,25,15,100,0.03
3,0.05,0.95,18.59,91.78,-94.78,-3.0,25,15,100,0.03
4,0.02,0.98,58.43,95.34,-98.34,-3.0,25,15,100,0.03
5,0.0,1.0,204.51,96.53,-99.53,-3.0,25,15,100,0.03
6,0.0,1.0,818.03,96.88,-99.88,-3.0,25,15,100,0.03
7,0.0,1.0,3885.66,96.98,-99.98,-3.0,25,15,100,0.03
8,0.0,1.0,23313.95,97.0,-100.0,-3.0,25,15,100,0.03
9,0.0,1.0,198168.58,97.0,-100.0,-3.0,25,15,100,0.03
10,0.0,1.0,3170697.2,97.0,-100.0,-3.0,25,15,100,0.03
