SpaceUncovered,WinFrequency,LoseFrequency,Multiplier,WinEV,LoseEV,EV (%),NumberOfCells,NumberOfBombs,Bet,HouseAdvantage
1,0.44,0.56,2.2,53.0,-56.0,-3.0,25,14,100,0.03
2,0.18,0.82,5.29,78.67,-81.67,-3.0,25,14,100,0.03
3,0.07,0.93,13.52,89.83,-92.83,-3.0,25,14,100,0.03
4,0.03,0.97,37.18,94.39,-97.39,-3.0,25,14,100,0.03
5,0.01,0.99,111.55,96.13,-99.13,-3.0,25,14,100,0.03
6,0.0,1.0,371.83,96.74,-99.74,-3.0,25,14,100,0.03
7,0.0,1.0,1412.97,96.93,-99.93,-3.0,25,14,100,0.03
8,0.0,1.0,6358.35,96.98,-99.98,-3.0,25,14,100,0.03
9,0.0,1.0,36030.65,97.0,-100.0,-3.0,25,14,100,0.03
10,0.0,1.0,288245.2,97.0,-100.0,-3.0,25,14,100,0.03
11,0.0,1.0,4323678.0,97.0,-100.0,-3.0,25,14,100,0.03
