SpaceUncovered,WinFrequency,LoseFrequency,Multiplier,WinEV,LoseEV,EV (%),NumberOfCells,NumberOfBombs,Bet,HouseAdvantage
1,0.6,0.4,1.62,37.0,-40.0,-3.0,25,10,100,0.03
2,0.35,0.65,2.77,62.0,-65.0,-3.0,25,10,100,0.03
3,0.2,0.8,4.9,77.22,-80.22,-3.0,25,10,100,0.03
4,0.11,0.89,8.99,86.21,-89.21,-3.0,25,10,100,0.03
5,0.06,0.94,17.16,91.35,-94.35,-3.0,25,10,100,0.03
6,0.03,0.97,34.32,94.17,-97.17,-3.0,25,10,100,0.03
7,0.01,0.99,72.46,95.66,-98.66,-3.0,25,10,100,0.03
8,0.01,0.99,163.03,96.41,-99.41,-3.0,25,10,100,0.03
9,0.0,1.0,395.94,96.76,-99.76,-3.0,25,10,100,0.03
10,0.0,1.0,1055.84,96.91,-99.91,-3.0,25,10,100,0.03
11,0.0,1.0,3167.53,96.97,-99.97,-3.0,25,10,100,0.03
12,0.0,1.0,11086.35,96.99,-99.99,-3.0,25,10,100,0.03
13,0.0,1.0,48040.87,97.0,-100.0,-3.0,25,10,100,0.03
14,0.0,1.0,288245.2,97.0,-100.0,-3.0,25,10,100,0.03
15,0.0,1.0,3170697.2,97.0,-100.0,-3.0,25,10,100,0.03
