SpaceUncovered,WinFrequency,LoseFrequency,Multiplier,WinEV,LoseEV,EV (%),NumberOfCells,NumberOfBombs,Bet,HouseAdvantage
1,0.88,0.12,1.1,9.0,-12.0,-3.0,25,3,100,0.03
2,0.77,0.23,1.26,20.0,-23.0,-3.0,25,3,100,0.03
3,0.67,0.33,1.45,30.04,-33.04,-3.0,25,3,100,0.03
4,0.58,0.42,1.68,39.17,-42.17,-3.0,25,3,100,0.03
5,0.5,0.5,1.96,47.43,-50.43,-3.0,25,3,100,0.03
6,0.42,0.58,2.3,54.87,-57.87,-3.0,25,3,100,0.03
7,0.35,0.65,2.73,61.52,-64.52,-3.0,25,3,100,0.03
8,0.3,0.7,3.28,67.43,-70.43,-3.0,25,3,100,0.03
9,0.24,0.76,3.98,72.65,-75.65,-3.0,25,3,100,0.03
10,0.2,0.8,4.9,77.22,-80.22,-3.0,25,3,100,0.03
11,0.16,0.84,6.13,81.17,-84.17,-3.0,25,3,100,0.03
12,0.12,0.88,7.8,84.57,-87.57,-3.0,25,3,100,0.03
13,0.1,0.9,10.14,87.43,-90.43,-3.0,25,3,100,0.03
14,0.07,0.93,13.52,89.83,-92.83,-3.0,25,3,100,0.03
15,0.05,0.95,18.59,91.78,-94.78,-3.0,25,3,100,0.03
16,0.04,0.96,26.56,93.35,-96.35,-3.0,25,3,100,0.03
17,0.02,0.98,39.84,94.57,-97.57,-3.0,25,3,100,0.03
18,0.02,0.98,63.74,95.48,-98.48,-3.0,25,3,100,0.03
19,0.01,0.99,111.55,96.13,-99.13,-3.0,25,3,100,0.03
20,0.0,1.0,223.1,96.57,-99.57,-3.0,25,3,100,0.03
21,0.0,1.0,557.75,96.83,-99.83,-3.0,25,3,100,0.03
22,0.0,1.0,2231.0,96.96,-99.96,-3.0,25,3,100,0.03
